Date,BITB,BND,BNDX,VTI,VXUS
2001-06-15,,,,36.33967971801758,
2001-06-18,,,,36.10792922973633,
2001-06-19,,,,36.20911407470703,
2001-06-20,,,,36.59101867675781,
2001-06-21,,,,36.88478469848633,
2001-06-22,,,,36.6497688293457,
2001-06-25,,,,36.41415023803711,
2001-06-26,,,,36.31925582885742,
2001-06-27,,,,36.322547912597656,
2001-06-28,,,,36.767574310302734,
2001-06-29,,,,36.977012634277344,
2001-07-02,,,,37.075172424316406,
2001-07-03,,,,37.0555419921875,
2001-07-05,,,,36.633419036865234,
2001-07-06,,,,35.6680908203125,
2001-07-09,,,,35.897151947021484,
2001-07-10,,,,35.42266845703125,
2001-07-11,,,,35.468475341796875,
2001-07-12,,,,36.309452056884766,
2001-07-13,,,,36.482887268066406,
2001-07-16,,,,36.06076431274414,
2001-07-17,,,,36.48616027832031,
2001-07-18,,,,36.106571197509766,
2001-07-19,,,,36.309452056884766,
2001-07-20,,,,36.312721252441406,
2001-07-23,,,,35.6844367980957,
2001-07-24,,,,35.19032669067383,
2001-07-25,,,,35.63536071777344,
2001-07-26,,,,36.09018325805664,
2001-07-27,,,,36.152374267578125,
2001-07-30,,,,36.1229362487793,
2001-07-31,,,,36.27019119262695,
2001-08-01,,,,36.42725372314453,
2001-08-02,,,,36.54178237915039,
2001-08-03,,,,36.41415023803711,
2001-08-06,,,,35.99528884887695,
2001-08-07,,,,36.06076431274414,
2001-08-08,,,,35.40629959106445,
2001-08-09,,,,35.51102828979492,
2001-08-10,,,,35.65498352050781,
2001-08-13,,,,35.717166900634766,
2001-08-14,,,,35.638641357421875,
2001-08-15,,,,35.33102798461914,
2001-08-16,,,,35.43902587890625,
2001-08-17,,,,34.89909362792969,
2001-08-20,,,,35.14451217651367,
2001-08-21,,,,34.653663635253906,
2001-08-22,,,,34.97434616088867,
2001-08-23,,,,34.92853927612305,
2001-08-24,,,,35.56664276123047,
2001-08-27,,,,35.43902587890625,
2001-08-28,,,,34.84672164916992,
2001-08-29,,,,34.51951217651367,
2001-08-30,,,,34.00247573852539,
2001-08-31,,,,34.146461486816406,
2001-09-04,,,,33.96649169921875,
2001-09-05,,,,33.91739273071289,
2001-09-06,,,,33.230224609375,
2001-09-07,,,,32.55940246582031,
2001-09-10,,,,32.804805755615234,
2001-09-17,,,,31.2471981048584,
2001-09-18,,,,30.847991943359375,
2001-09-19,,,,30.43241310119629,
2001-09-20,,,,29.45072364807129,
2001-09-21,,,,28.976228713989258,
2001-09-24,,,,30.0123348236084,
2001-09-25,,,,30.294755935668945,
2001-09-26,,,,30.061594009399414,
2001-09-27,,,,30.360422134399414,
2001-09-28,,,,31.18141746520996,
2001-10-01,,,,30.899003982543945,
2001-10-02,,,,31.27993392944336,
2001-10-03,,,,31.831653594970703,
2001-10-04,,,,31.936742782592773,
2001-10-05,,,,31.95316505432129,
2001-10-08,,,,31.739704132080078,
2001-10-09,,,,31.529521942138672,
2001-10-10,,,,32.278289794921875,
2001-10-11,,,,32.869380950927734,
2001-10-12,,,,32.61980438232422,
2001-10-15,,,,32.66577911376953,
2001-10-16,,,,32.84968948364258,
2001-10-17,,,,32.18303680419922,
2001-10-18,,,,32.01555633544922,
2001-10-19,,,,32.104225158691406,
2001-10-22,,,,32.58368682861328,
2001-10-23,,,,32.462188720703125,
2001-10-24,,,,32.44575119018555,
2001-10-25,,,,32.9055061340332,
2001-10-26,,,,33.08284378051758,
2001-10-29,,,,32.31439208984375,
2001-10-30,,,,31.78238868713379,
2001-10-31,,,,31.82178497314453,
2001-11-01,,,,32.491729736328125,
2001-11-02,,,,32.544273376464844,
2001-11-05,,,,33.010589599609375,
2001-11-06,,,,33.490047454833984,
2001-11-07,,,,33.43096160888672,
2001-11-08,,,,33.45064926147461,
2001-11-09,,,,33.52289962768555,
2001-11-12,,,,33.46377944946289,
2001-11-13,,,,34.054901123046875,
2001-11-14,,,,34.26506042480469,
2001-11-15,,,,34.15670394897461,
2001-11-16,,,,34.14356994628906,
2001-11-19,,,,34.49168014526367,
2001-11-20,,,,34.245391845703125,
2001-11-21,,,,34.03520202636719,
2001-11-23,,,,34.45227813720703,
2001-11-26,,,,34.66244125366211,
2001-11-27,,,,34.56720733642578,
2001-11-28,,,,33.83816909790039,
2001-11-29,,,,34.35702133178711,
2001-11-30,,,,34.245391845703125,
2001-12-03,,,,34.00893020629883,
2001-12-04,,,,34.45554733276367,
2001-12-05,,,,35.30282974243164,
2001-12-06,,,,35.23712921142578,
2001-12-07,,,,35.16161346435547,
2001-12-10,,,,34.49824523925781,
2001-12-11,,,,34.409576416015625,
2001-12-12,,,,34.389869689941406,
2001-12-13,,,,33.87757873535156,
2001-12-14,,,,34.03190994262695,
2001-12-17,,,,34.28151321411133,
2001-12-18,,,,34.63615036010742,
2001-12-19,,,,34.7938117980957,
2001-12-20,,,,34.48182678222656,
2001-12-21,,,,34.665733337402344,
2001-12-24,,,,34.7425422668457,
2001-12-26,,,,34.9139404296875,
2001-12-27,,,,35.11501693725586,
2001-12-28,,,,35.22048568725586,
2001-12-31,,,,34.739234924316406,
